Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nf,C_0805_2012Metric,56.42,-89.45,-90,top
C2,1nf,C_0603_1608Metric,58.72,-89.65,-90,top
C3,22pf,C_0603_1608Metric,26.62,-88.25,180,top
C4,22pf,C_0603_1608Metric,26.62,-93.25,180,top
C5,10uf,C_1206_3216Metric,65.52,-94.7425,0,top
C6,100uf,C_1210_3225Metric,70.12,-83.35,0,top
C9,470uf,CP_Radial_D10.0mm_P2.50mm,115.475,-75.9,180,top
C11,470uf,CP_Radial_D10.0mm_P2.50mm,138.775,-75.9,180,top
C13,1uf,C_0805_2012Metric,61.62,-81.25,0,top
C14,1uf,C_0805_2012Metric,48.42,-68.85,180,top
C15,1uf,C_0805_2012Metric,39.17,-95.85,0,top
C16,0.1uf,C_0805_2012Metric,63.62,-99.25,0,top
C17,0.1uf,C_0805_2012Metric,55.02,-95.25,0,top
C18,0.1uf,C_0805_2012Metric,39.32,-88.15,0,top
C19,0.1uf,C_0805_2012Metric,63.52,-68.85,180,top
C20,1uf,C_0805_2012Metric,55.02,-86.15,0,top
C21,10uf,C_1206_3216Metric,161.63325,-130.11,0,top
C22,10uf,C_1206_3216Metric,139.10825,-130.11,0,top
C23,10uf,C_1206_3216Metric,114.63325,-130.11,0,top
C24,10uf,C_1206_3216Metric,38.63325,-130.11,0,top
C25,10uf,C_1206_3216Metric,63.63325,-130.11,0,top
C26,10uf,C_1206_3216Metric,89.63325,-130.11,0,top
D1,D,D_DO-41_SOD81_P10.16mm_Horizontal,157.63325,-130.11,180,top
D2,D,D_DO-41_SOD81_P10.16mm_Horizontal,85.71325,-130.11,180,top
D3,D,D_DO-41_SOD81_P10.16mm_Horizontal,134.71325,-130.11,180,top
D4,D,D_DO-41_SOD81_P10.16mm_Horizontal,59.79325,-130.11,180,top
D5,D,D_DO-41_SOD81_P10.16mm_Horizontal,110.71325,-130.11,180,top
D6,D,D_DO-41_SOD81_P10.16mm_Horizontal,34.71325,-130.11,180,top
D7,5.1v,D_DO-41_SOD81_P10.16mm_Horizontal,142.21325,-106.2,180,top
D8,5.1v,D_DO-41_SOD81_P10.16mm_Horizontal,142.21325,-102.7,180,top
D9,5.1v,D_DO-41_SOD81_P10.16mm_Horizontal,142.21325,-99.2,180,top
D10,5.1v,D_DO-41_SOD81_P10.16mm_Horizontal,142.21325,-95.7,180,top
D11,5.1v,D_DO-41_SOD81_P10.16mm_Horizontal,142.21325,-92.2,180,top
D12,5.1v,D_DO-41_SOD81_P10.16mm_Horizontal,142.21325,-88.7,180,top
D16,5.1v,D_DO-41_SOD81_P10.16mm_Horizontal,36.2,-107.25,180,top
D17,5.1v,D_DO-41_SOD81_P10.16mm_Horizontal,36.2,-103.75,180,top
D18,5.1v,D_DO-41_SOD81_P10.16mm_Horizontal,36.2,-100.25,180,top
D19,D,D_DO-41_SOD81_P10.16mm_Horizontal,124.91,-23.35,180,top
D20,D,D_DO-41_SOD81_P10.16mm_Horizontal,148.5,-23.85,180,top
DS1,WC1602A,WC1602A,28.02,-22.6,0,top
J1,ResetJumper,PinHeader_1x03_P2.54mm_Vertical,38.58,-63.75,90,top
J2,AVR-ISP-6,PinSocket_2x03_P2.54mm_Vertical,59.37,-99.46,0,top
J3,RESET_DISABLE,PinHeader_1x02_P2.54mm_Vertical,64.92,-74.61,0,top
