Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nf","C_0805_2012Metric",56.420000,-89.450000,-90.000000,top
"C2","1nf","C_0603_1608Metric",58.720000,-89.650000,-90.000000,top
"C3","22pf","C_0603_1608Metric",26.620000,-88.250000,180.000000,top
"C4","22pf","C_0603_1608Metric",26.620000,-93.250000,180.000000,top
"C5","10uf","C_1206_3216Metric",65.520000,-94.742500,0.000000,top
"C6","100uf","C_1210_3225Metric",70.120000,-83.350000,0.000000,top
"C9","470uf","CP_Radial_D10.0mm_P2.50mm",115.475000,-75.900000,180.000000,top
"C11","470uf","CP_Radial_D10.0mm_P2.50mm",138.775000,-75.900000,180.000000,top
"C13","1uf","C_0805_2012Metric",61.620000,-81.250000,0.000000,top
"C14","1uf","C_0805_2012Metric",48.420000,-68.850000,180.000000,top
"C15","1uf","C_0805_2012Metric",39.170000,-95.850000,0.000000,top
"C16","0.1uf","C_0805_2012Metric",63.620000,-99.250000,0.000000,top
"C17","0.1uf","C_0805_2012Metric",55.020000,-95.250000,0.000000,top
"C18","0.1uf","C_0805_2012Metric",39.320000,-88.150000,0.000000,top
"C19","0.1uf","C_0805_2012Metric",63.520000,-68.850000,180.000000,top
"C20","1uf","C_0805_2012Metric",55.020000,-86.150000,0.000000,top
"C21","10uf","C_1206_3216Metric",161.633250,-130.110000,0.000000,top
"C22","10uf","C_1206_3216Metric",139.108250,-130.110000,0.000000,top
"C23","10uf","C_1206_3216Metric",114.633250,-130.110000,0.000000,top
"C24","10uf","C_1206_3216Metric",38.633250,-130.110000,0.000000,top
"C25","10uf","C_1206_3216Metric",63.633250,-130.110000,0.000000,top
"C26","10uf","C_1206_3216Metric",89.633250,-130.110000,0.000000,top
"D1","D","D_DO-41_SOD81_P10.16mm_Horizontal",157.633250,-130.110000,180.000000,top
"D2","D","D_DO-41_SOD81_P10.16mm_Horizontal",85.713250,-130.110000,180.000000,top
"D3","D","D_DO-41_SOD81_P10.16mm_Horizontal",134.713250,-130.110000,180.000000,top
"D4","D","D_DO-41_SOD81_P10.16mm_Horizontal",59.793250,-130.110000,180.000000,top
"D5","D","D_DO-41_SOD81_P10.16mm_Horizontal",110.713250,-130.110000,180.000000,top
"D6","D","D_DO-41_SOD81_P10.16mm_Horizontal",34.713250,-130.110000,180.000000,top
"D7","5.1v","D_DO-41_SOD81_P10.16mm_Horizontal",142.213250,-106.200000,180.000000,top
"D8","5.1v","D_DO-41_SOD81_P10.16mm_Horizontal",142.213250,-102.700000,180.000000,top
"D9","5.1v","D_DO-41_SOD81_P10.16mm_Horizontal",142.213250,-99.200000,180.000000,top
"D10","5.1v","D_DO-41_SOD81_P10.16mm_Horizontal",142.213250,-95.700000,180.000000,top
"D11","5.1v","D_DO-41_SOD81_P10.16mm_Horizontal",142.213250,-92.200000,180.000000,top
"D12","5.1v","D_DO-41_SOD81_P10.16mm_Horizontal",142.213250,-88.700000,180.000000,top
"D16","5.1v","D_DO-41_SOD81_P10.16mm_Horizontal",36.200000,-107.250000,180.000000,top
"D17","5.1v","D_DO-41_SOD81_P10.16mm_Horizontal",36.200000,-103.750000,180.000000,top
"D18","5.1v","D_DO-41_SOD81_P10.16mm_Horizontal",36.200000,-100.250000,180.000000,top
"D19","D","D_DO-41_SOD81_P10.16mm_Horizontal",124.910000,-23.350000,180.000000,top
"D20","D","D_DO-41_SOD81_P10.16mm_Horizontal",148.500000,-23.850000,180.000000,top
"DS1","WC1602A","WC1602A",28.020000,-22.600000,0.000000,top
"J1","ResetJumper","PinHeader_1x03_P2.54mm_Vertical",38.580000,-63.750000,90.000000,top
"J2","AVR-ISP-6","PinSocket_2x03_P2.54mm_Vertical",59.370000,-99.460000,0.000000,top
