"Designator","Comment","Footprint","DNP"
"C2","0.1uF","Capacitor_SMD:C_1206_3216Metric",""
"C5","0.1uF","Capacitor_SMD:C_0805_2012Metric",""
"C3","100nF","Capacitor_SMD:C_0603_1608Metric",""
"C1","0.22uF","Capacitor_SMD:C_1206_3216Metric",""
"C4","10uF","Capacitor_SMD:C_0603_1608Metric",""
"TP4","5Vout","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical",""
"D1","5V","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"D2","5v","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"R1","10E","Resistor_SMD:R_0805_2012Metric",""
"R4","2k","Resistor_SMD:R_0805_2012Metric",""
"R2","10k","Resistor_SMD:R_0805_2012Metric",""
"R3","10k","Resistor_SMD:R_0805_2012Metric",""
"U4","ATtiny85-20P","Package_DIP:DIP-8_W7.62mm_Socket",""
"J1","Battery output","HighCurrentConnectors:CONN_4DB-P108-02_TEC",""
"U2","IRFZ44NPBF","IRFZ44NPBF:PG-TO220-3_INF",""
"U1","L7805","Package_TO_SOT_SMD:TO-263-3_TabPin2",""
"TP3","PWM_TEST_POINT","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical",""
"J2","Solar input","HighCurrentConnectors:CONN_4DB-P108-02_TEC",""
"U3","UCC27516DRSR","UCC27516:UCC27516",""
"TP2","VOLTAGE_REG","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical",""
